2025-07-01 02:44:01,339 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:44:01,411 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:44:01,805 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:44:01,805 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:44:01,806 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:44:01,806 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:44:01,806 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:44:01,806 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:44:01,806 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:44:01,806 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:44:01,806 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:44:01,806 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:44:01,806 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:44:01,809 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:44:01,809 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:44:01,809 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:44:01,809 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 02:47:15,026 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:47:15,093 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:47:15,501 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:47:15,501 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:47:15,501 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:47:15,501 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:47:15,501 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:47:15,501 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:47:15,501 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:47:15,501 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:47:15,501 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:47:15,502 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:47:15,502 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:47:15,521 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:47:15,522 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 02:47:15,522 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 02:47:15,522 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 02:50:57,033 | YOLOv8 | INFO | Device is cpu
2025-07-01 02:50:57,100 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 02:50:57,517 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 02:50:57,517 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 02:50:57,517 | YOLOv8 | INFO | Criterion is ready
2025-07-01 02:50:57,517 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 02:50:57,517 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 02:50:57,517 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 02:50:57,517 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 02:50:57,517 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 02:50:57,517 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 02:50:57,517 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 02:50:57,517 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 02:50:57,535 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 02:50:57,535 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
